epoch,train_loss,train_acc,test_loss,test_acc,used_train,total_train,used_test,total_test
1,2.0985,0.2465,1.9355,0.3285,3125,3125,625,625
2,1.87,0.3499,1.8339,0.3511,3125,3125,625,625
3,1.7682,0.3883,1.7208,0.4126,3125,3125,625,625
4,1.6844,0.4188,1.653,0.4303,3125,3125,625,625
5,1.6107,0.4431,1.5793,0.4498,3125,3125,625,625
6,1.5461,0.4671,1.5197,0.4751,3125,3125,625,625
7,1.4916,0.4859,1.4678,0.4887,3125,3125,625,625
8,1.4466,0.5007,1.4307,0.5008,3125,3125,625,625
9,1.4096,0.513,1.4026,0.5073,3125,3125,625,625
10,1.3812,0.5226,1.3848,0.5175,3125,3125,625,625
